Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
delta-force,,,,,,TRUE,,Small,,,,,,,shopify,,deny,manual,41.24,54.99,True,TRUE,788677056628,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,test Michelangelo Movie suff,,Rubie's Costume Co.,Costumes,"small, costumes, michelangelo, dlx, sm, movie, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028897551,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,test Howling Ghost suff,,Rubie's Costume Co.,Costumes,"medium, costumes, howling, ghost, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028102167,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,test Royal Vampire suff,,Rubie's Costume Co.,Costumes,"medium, costumes, royal, vampire, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,24.74,32.99,True,TRUE,883028391769,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028897568,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028102174,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,24.74,32.99,True,TRUE,883028391776,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028897575,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,test Cool Ghoul suff,,Rubie's Costume Co.,Costumes,"small, costumes, cool, ghoul, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028103652,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,test Anakin Skywalker suff,,Rubie's Costume Co.,Costumes,"small, costumes, anakin, skywalker, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028201259,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,test Evil Minion Foam suff,,Rubie's Costume Co.,Costumes,"small, costumes, evil, minion, foam, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028731756,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028103676,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028201266,,,,,,,,,,,,,,,,,,,,,,
minion-dave-foam,test Minion Dave Foam suff,,Rubie's Costume Co.,Costumes,"small, costumes, minion, dave, foam, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028644452,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028731763,,,,,,,,,,,,,,,,,,,,,,
pirate-king,test Pirate King suff,,Rubie's Costume Co.,Costumes,"small, costumes, pirate, king, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028104055,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028201273,,,,,,,,,,,,,,,,,,,,,,
swat-police,test Swat Police suff,,Rubie's Costume Co.,Costumes,"medium, costumes, swat, police, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,883028281367,,,,,,,,,,,,,,,,,,,,,,
ghostbusters,test Ghostbusters suff,,Rubie's Costume Co.,Costumes,"large, costumes, ghostbusters, lg, ",TRUE,Size,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028432073,,,,,,,,,,,,,,,,,,,,,,
minion-dave-foam,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028644469,,,,,,,,,,,,,,,,,,,,,,
pirate-king,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028104062,,,,,,,,,,,,,,,,,,,,,,
obi-wan-kenobi,test Obi Wan Kenobi suff,,Rubie's Costume Co.,Costumes,"medium, costumes, obi, wan, kenobi, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028201365,,,,,,,,,,,,,,,,,,,,,,
swat-police,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,883028281374,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,test Cherokee Warrior suff,,Rubie's Costume Co.,Costumes,"medium, costumes, cherokee, warrior, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028105168,,,,,,,,,,,,,,,,,,,,,,
superman,test Superman suff,,Rubie's Costume Co.,Costumes,"small, costumes, superman, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028208555,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,test Gid Skeleton suff,,Rubie's Costume Co.,Costumes,"small, costumes, gid, skeleton, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028283750,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,12.74,16.99,True,TRUE,883028105175,,,,,,,,,,,,,,,,,,,,,,
superman,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028208562,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028283767,,,,,,,,,,,,,,,,,,,,,,
swat-team,test Swat Team suff,,Rubie's Costume Co.,Costumes,"large, costumes, swat, team, lg, ",TRUE,Size,Large,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028208678,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028283774,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,test Frankie Stein suff,,Rubie's Costume Co.,Costumes,"small, costumes, frankie, stein, dlx, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028490059,,,,,,,,,,,,,,,,,,,,,,
scooby-doo,test Scooby Doo suff,,Rubie's Costume Co.,Costumes,"medium, costumes, scooby, doo, dlx, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,37.49,49.99,True,TRUE,883028209262,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028490066,,,,,,,,,,,,,,,,,,,,,,
spyro,test Spyro suff,,Rubie's Costume Co.,Costumes,"small, costumes, spyro, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028163250,,,,,,,,,,,,,,,,,,,,,,
police-officer,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,883028211463,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,883028490073,,,,,,,,,,,,,,,,,,,,,,
knight,test Knight suff,,Rubie's Costume Co.,Costumes,"medium, costumes, knight, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,883028664160,,,,,,,,,,,,,,,,,,,,,,
spyro,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,883028163267,,,,,,,,,,,,,,,,,,,,,,
knight,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,883028664177,,,,,,,,,,,,,,,,,,,,,,
