Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
michelangelo-movie,Michelangelo Movie,,Rubie's Costume Co.,Costumes,"michelangelo, dlx, sm, movie, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028897551,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,Howling Ghost,,Rubie's Costume Co.,Costumes,"howling, ghost, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028102167,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,Royal Vampire,,Rubie's Costume Co.,Costumes,"royal, vampire, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,24.74,32.99,TRUE,TRUE,883028391769,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,TRUE,,Med,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028897568,,,,,,,,,,,,,,,,,,,,,,
howling-ghost,,,,,,TRUE,,Lg,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028102174,,,,,,,,,,,,,,,,,,,,,,
royal-vampire,,,,,,TRUE,,Lg,,,,,,,,,,,24.74,32.99,TRUE,TRUE,883028391776,,,,,,,,,,,,,,,,,,,,,,
michelangelo-movie,,,,,,TRUE,,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028897575,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,Cool Ghoul,,Rubie's Costume Co.,Costumes,"cool, ghoul, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028103652,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,Anakin Skywalker,,Rubie's Costume Co.,Costumes,"anakin, skywalker, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028201259,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,Evil Minion Foam,,Rubie's Costume Co.,Costumes,"evil, minion, foam, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028731756,,,,,,,,,,,,,,,,,,,,,,
cool-ghoul,,,,,,TRUE,,Lg,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028103676,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028201266,,,,,,,,,,,,,,,,,,,,,,
minion-dave-foam,Minion Dave Foam,,Rubie's Costume Co.,Costumes,"minion, dave, foam, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028644452,,,,,,,,,,,,,,,,,,,,,,
evil-minion-foam,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028731763,,,,,,,,,,,,,,,,,,,,,,
pirate-king,Pirate King,,Rubie's Costume Co.,Costumes,"pirate, king, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028104055,,,,,,,,,,,,,,,,,,,,,,
anakin-skywalker,,,,,,TRUE,,Lg,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028201273,,,,,,,,,,,,,,,,,,,,,,
swat-police,Swat Police,,Rubie's Costume Co.,Costumes,"swat, police, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,26.24,34.99,TRUE,TRUE,883028281367,,,,,,,,,,,,,,,,,,,,,,
ghostbusters,Ghostbusters,,Rubie's Costume Co.,Costumes,"ghostbusters, lg, large, costumes, ",TRUE,Size,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028432073,,,,,,,,,,,,,,,,,,,,,,
minion-dave-foam,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028644469,,,,,,,,,,,,,,,,,,,,,,
pirate-king,,,,,,TRUE,,Med,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028104062,,,,,,,,,,,,,,,,,,,,,,
obi-wan-kenobi,Obi Wan Kenobi,,Rubie's Costume Co.,Costumes,"obi, wan, kenobi, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028201365,,,,,,,,,,,,,,,,,,,,,,
swat-police,,,,,,TRUE,,Lg,,,,,,,,,,,26.24,34.99,TRUE,TRUE,883028281374,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,Cherokee Warrior,,Rubie's Costume Co.,Costumes,"cherokee, warrior, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028105168,,,,,,,,,,,,,,,,,,,,,,
superman,Superman,,Rubie's Costume Co.,Costumes,"superman, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028208555,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,Gid Skeleton,,Rubie's Costume Co.,Costumes,"gid, skeleton, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028283750,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,,,,,,TRUE,,Lg,,,,,,,,,,,12.74,16.99,TRUE,TRUE,883028105175,,,,,,,,,,,,,,,,,,,,,,
superman,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028208562,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028283767,,,,,,,,,,,,,,,,,,,,,,
swat-team,Swat Team,,Rubie's Costume Co.,Costumes,"swat, team, lg, large, costumes, ",TRUE,Size,Lg,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028208678,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,TRUE,,Lg,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028283774,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,Frankie Stein,,Rubie's Costume Co.,Costumes,"frankie, stein, dlx, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028490059,,,,,,,,,,,,,,,,,,,,,,
scooby-doo,Scooby Doo,,Rubie's Costume Co.,Costumes,"scooby, doo, dlx, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,37.49,49.99,TRUE,TRUE,883028209262,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,TRUE,,Med,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028490066,,,,,,,,,,,,,,,,,,,,,,
spyro,Spyro,,Rubie's Costume Co.,Costumes,"spyro, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028163250,,,,,,,,,,,,,,,,,,,,,,
police-officer,,,,,,TRUE,,Med,,,,,,,,,,,26.24,34.99,TRUE,TRUE,883028211463,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,TRUE,,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028490073,,,,,,,,,,,,,,,,,,,,,,
knight,Knight,,Rubie's Costume Co.,Costumes,"knight, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,20.99,27.99,TRUE,TRUE,883028664160,,,,,,,,,,,,,,,,,,,,,,
spyro,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028163267,,,,,,,,,,,,,,,,,,,,,,
knight,,,,,,TRUE,,Lg,,,,,,,,,,,20.99,27.99,TRUE,TRUE,883028664177,,,,,,,,,,,,,,,,,,,,,,
h/s-the-batman,H/S The Batman,,Rubie's Costume Co.,Costumes,"h/s, the, batman, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,883028221059,,,,,,,,,,,,,,,,,,,,,,
captain,Captain,,Rubie's Costume Co.,Costumes,"captain, black, sm, small, costumes, ",TRUE,Size,Sm,Color,BLACK,,,,,,,,,29.99,39.99,TRUE,TRUE,883028289653,,,,,,,,,,,,,,,,,,,,,,
ninja,,,,,,TRUE,,Lg,,BLACK,,,,,,,,,11.24,14.99,TRUE,TRUE,883028190072,,,,,,,,,,,,,,,,,,,,,,
robin-w/muscle,Robin W/Muscle,,Rubie's Costume Co.,Costumes,"robin, dlx, w/muscle, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028230952,,,,,,,,,,,,,,,,,,,,,,
prisoner-boy,Prisoner Boy,,Rubie's Costume Co.,Costumes,"prisoner, boy, med, medium, costumes, ",TRUE,Size,Med,,,,,,,,,,,9.74,12.99,TRUE,TRUE,883028191765,,,,,,,,,,,,,,,,,,,,,,
robin-w/muscle,,,,,,TRUE,,Med,,,,,,,,,,,29.99,39.99,TRUE,TRUE,883028230969,,,,,,,,,,,,,,,,,,,,,,
leonardo,Leonardo,,Rubie's Costume Co.,Costumes,"leonardo, dlx, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,19.99,39.99,TRUE,TRUE,883028676057,,,,,,,,,,,,,,,,,,,,,,
