Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
minion-dave-foam,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,883028644469,,,,,,,,,,,,,,,,,,,,,,
pirate-king,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028104062,,,,,,,,,,,,,,,,,,,,,,
obi-wan-kenobi,Boys Obi Wan Kenobi Costume,,Rubie's Costume Co.,Costumes,"costumes, obi, wan, kenobi, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,883028201365,,,,,,,,,,,,,,,,,,,,,,
swat-police,,,,,,,,Large,,,,,,,shopify,2,deny,manual,26.24,34.99,True,,883028281374,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,Boys Cherokee Warrior Costume,,Rubie's Costume Co.,Costumes,"costumes, cherokee, warrior, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,12.74,16.99,True,,883028105168,,,,,,,,,,,,,,,,,,,,,,
superman,Boys Superman Costume,,Rubie's Costume Co.,Costumes,"costumes, superman, sm, ",,Size,Small,,,,,,,shopify,4,deny,manual,22.49,29.99,True,,883028208555,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,Boys Gid Skeleton Costume,,Rubie's Costume Co.,Costumes,"costumes, gid, skeleton, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,883028283750,,,,,,,,,,,,,,,,,,,,,,
cherokee-warrior,,,,,,,,Large,,,,,,,shopify,1,deny,manual,12.74,16.99,True,,883028105175,,,,,,,,,,,,,,,,,,,,,,
superman,,,,,,,,Medium,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028208562,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,,,Medium,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028283767,,,,,,,,,,,,,,,,,,,,,,
swat-team,Boys Swat Team Costume,,Rubie's Costume Co.,Costumes,"costumes, swat, team, lg, ",,Size,Large,,,,,,,shopify,5,deny,manual,22.49,29.99,True,,883028208678,,,,,,,,,,,,,,,,,,,,,,
gid-skeleton,,,,,,,,Large,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028283774,,,,,,,,,,,,,,,,,,,,,,
