Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
20189,JASON JERSEY/MASK STD,JASON JERSEY/MASK STD,,MEN,STD,22.4925,29.99,0883028809400,COSTUMES,RUBIE'S COSTUME CO.,1,888094,,,,,,,
20212,JASON STD ADULT,JASON STD ADULT,,MEN,STD,26.2425,34.99,0883028907007,COSTUMES,RUBIE'S COSTUME CO.,0,889070,,,,,,,
22147,JINGLES THE CLOWN,JINGLES THE CLOWN,,MEN,STD,29.9925,39.99,0082686155212,COSTUMES,RUBIE'S COSTUME CO.,0,15521,,,,,,,
20743,KETCHUP ADULT,KETCHUP ADULT,,MEN,STD,26.2425,34.99,0791249003050,COSTUMES,RASTA IMPOSTA,2,305,,,,,,,
21475,KILLER CLOWN ADULT,KILLER CLOWN ADULT,,MEN,STD,35.9925,47.99,0071765041423,COSTUMES,FUN WORLD,4,131514,,,,,,,
22202,KING HENRY XXXL,KING HENRY XXXL,,MEN,STD,44.9925,59.99,0721773640933,COSTUMES,FORUM NOVELTIES INC,1,64093,,,,,,,
20534,KNIGHT OF THE ROUND TABLE ADULT,KNIGHT OF THE ROUND TABLE ADULT,,MEN,STD,29.9925,39.99,0721773628597,COSTUMES,FORUM NOVELTIES INC,0,62859,,,,,,,
19941,KNIGHT TO REMEMBER STD,KNIGHT TO REMEMBER STD,,MEN,STD,24.7425,32.99,0883028058105,COSTUMES,RUBIE'S COSTUME CO.,1,880581,,,,,,,
19942,KNIGHT TO REMEMBER XL,KNIGHT TO REMEMBER XL,,MEN,XL,24.7425,32.99,0883028058181,COSTUMES,RUBIE'S COSTUME CO.,1,880581,,,,,,,
23316,KYLO REN DLX STD,KYLO REN DLX STD,,MEN,STD,48.74,64.99,0883028090464,COSTUMES,RUBIE'S COSTUME CO.,1,810069,,,,,,,
23317,KYLO REN DLX XL,KYLO REN DLX XL,,MEN,XL,48.74,64.99,0883028090471,COSTUMES,RUBIE'S COSTUME CO.,1,810069,,,,,,,
22148,LANCELOT STD,LANCELOT STD,,MEN,STD,32.2425,42.99,0082686560429,COSTUMES,RUBIE'S COSTUME CO.,2,56042,,,,,,,
22149,LEATHERFACE ADULT,LEATHERFACE ADULT,,MEN,STD,26.2425,34.99,0082686165716,COSTUMES,RUBIE'S COSTUME CO.,2,16571,,,,,,,
19927,LEONARDO STD,LEONARDO STD,,MEN,STD,29.99,59.99,0883028044108,COSTUMES,RUBIE'S COSTUME CO.,0,880441,,,,,,,
19928,LEONARDO XL,LEONARDO XL,,MEN,XL,29.99,59.99,0883028044184,COSTUMES,RUBIE'S COSTUME CO.,0,880441,,,,,,,
22203,LONESOME COWBOY ADULT,LONESOME COWBOY ADULT,,MEN,STD,33.7425,44.99,0721773666834,COSTUMES,FORUM NOVELTIES INC,0,66683,,,,,,,
20211,LT. DANGLE STD ADULT,LT. DANGLE STD ADULT,,MEN,STD,29.9925,39.99,0883028875207,COSTUMES,RUBIE'S COSTUME CO.,0,888752,,,,,,,
22246,MAD SCIENTIST ADULT,MAD SCIENTIST ADULT,,MEN,STD,14.9925,19.99,0023168057495,COSTUMES,FUN WORLD,0,5749,,,,,,,
22230,MADHATTER XL ADULT,MADHATTER XL ADULT,,MEN,STD,59.9925,79.99,0039897135489,COSTUMES,DISGUISE INC.,0,13547D,,,,,,,
18821,MERLIN COURT MAGICIAN ADULT,MERLIN COURT MAGICIAN ADULT,,MEN,STD,43.4925,57.99,0082686168519,COSTUMES,RUBIE'S COSTUME CO.,2,16851,,,,,,,
22154,MESH FACE ROBE BLACK,MESH FACE ROBE BLACK,,MEN,STD,14.9925,19.99,0082686152419,COSTUMES,RUBIE'S COSTUME CO.,2,15241,,,,,,,
18800,MEXICAN SERAPE,MEXICAN SERAPE,,MEN,SERAPE,19.99,24.99,0082686157506,COSTUMES,RUBIE'S COSTUME CO.,-1,15750,,,,,,,
20172,MICHAEL MYERS STD ADULT,MICHAEL MYERS STD ADULT,,MEN,STD,33.7425,44.99,0883028724307,COSTUMES,RUBIE'S COSTUME CO.,2,887243,,,,,,,
19933,MICHELANGELO STD,MICHELANGELO STD,,MEN,STD,44.9925,59.99,0883028046508,COSTUMES,RUBIE'S COSTUME CO.,0,880465,,,,,,,
19934,MICHELANGELO XL,MICHELANGELO XL,,MEN,XL,44.9925,59.99,0883028046584,COSTUMES,RUBIE'S COSTUME CO.,1,880465,,,,,,,
20766,MIKE HUNTS DIVING SCHOOL ADULT,MIKE HUNTS DIVING SCHOOL ADULT,,MEN,STD,33.7425,44.99,0791249697402,COSTUMES,RASTA IMPOSTA,0,6974,,,,,,,
22155,MINION DAVE ADULT,MINION DAVE ADULT,,MEN,STD,29.9925,39.99,0883028972005,COSTUMES,RUBIE'S COSTUME CO.,0,887338,,,,,,,
20178,MINION DAVE STD,MINION DAVE STD,,MEN,STD,29.9925,39.99,0883028733804,COSTUMES,RUBIE'S COSTUME CO.,0,887338,,,,,,,
18909,MOB BOSS LG,MOB BOSS LG,,MEN,MOB BOSS LG,32.2425,42.99,0809801723077,COSTUMES,AMSCAN,1,841882,,,,,,,
18906,MOB BOSS MED,MOB BOSS MED,,MEN,MOB BOSS MED,32.2425,42.99,0809801723084,COSTUMES,AMSCAN,3,841883,,,,,,,
22261,MONEY MAN JACKET,MONEY MAN JACKET,,MEN,STD,37.4925,49.99,0791249767617,COSTUMES,RASTA IMPOSTA,0,7676-01,,,,,,,
